,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
650,0,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,537.4514959622175,0.001286869778644,35932,87728,0.010966
651,1,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,548.8089398760349,0.0005901595705255,35932,87715,0.010964375
652,2,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,542.0593579877168,6.736293147264824e-05,35932,87723,0.010965375
653,3,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,537.51829845272,0.0007105627666718,35932,87708,0.0109635
654,4,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,535.155101519078,0.0004171027274785,35932,87712,0.010964
655,5,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,538.4545928798616,0.0003110101351081,35932,87720,0.010965
656,6,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,542.641861340031,0.0003161187521628,35932,87706,0.01096325
657,7,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,540.3407810460776,0.0022788275856151,35932,87731,0.010966375
658,8,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,540.3864505887032,0.0004913887066745,35932,87727,0.010965875
659,9,200,20,50.0,sandwich,2,2.0,0.66,4.0,0.32,547.4791619237512,0.0001839898150921,35932,87728,0.010966
720,0,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,504.98546600714326,0.0011529312395578,35932,87719,0.010964875
721,1,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,509.1159897558391,0.0010257755373178,35932,87712,0.010964
722,2,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,508.9815475363284,0.0010215587933392,35932,87720,0.010965
723,3,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,508.2162993773818,0.0011341890033096,35932,87716,0.0109645
724,4,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,508.9221200104803,0.0012676869592516,35932,87710,0.01096375
725,5,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,509.0806937329471,0.0010706557935081,35932,87722,0.01096525
726,6,200,20,30.0,sandwich,2,2.0,0.66,4.0,0.32,506.11412547156215,0.0028070238686134,35932,87717,0.010964625
