,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
168,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45643,0.005705375,924.0325505826622,0.0033691005136765,3226.1138638429074
169,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45637,0.005704625,914.3820139467716,0.0006806138355853,6158.272624732129
170,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39539,0.004942375,1755.039077214897,0.0145809024437271,373.12668865614967
171,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39534,0.00494175,1822.9116830704731,0.0439796624704906,3646.164327514253
172,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39541,0.004942625,1830.5510063199329,0.0093183908274812,1249.6595037789475
173,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39543,0.004942875,1814.5842783078551,0.0172787633670769,2349.109665188048
174,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39531,0.004941375,1811.2298657428476,0.0139568312154285,420.61628893542087
175,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39526,0.00494075,1837.6500975582749,0.0049499181216008,2475.120273498104
176,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39531,0.004941375,1841.368942609988,0.0117158921525617,92970.5647947827
177,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39533,0.004941625,1821.7007375583053,0.0258223965375894,244.75057875440717
178,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39529,0.004941125,1813.9457612084225,0.0114205753551698,11135.043631863658
179,9,200,20,inf,kron_alt,2,2,0.66,4.0,0.105,10,39544,0.004943,1800.68884883821,0.0053766025144509,908.737565113488
180,0,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78751,0.009843875,1934.8710340801624,0.0014315922563521,95.6601262267148
181,1,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78750,0.00984375,1928.10137591511,0.0006938376703864,30.20902761951633
182,2,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78742,0.00984275,1935.160092830658,0.000516452899498,482.5799706793197
183,3,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78747,0.009843375,1919.0575015880167,0.0033882030359948,547.5542336302068
184,4,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78738,0.00984225,1929.775313548744,0.0008537699489618,39.571437000253184
185,5,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78758,0.00984475,1918.3063107170165,0.0014753753663405,57.126287745886486
186,6,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78776,0.009847,1958.9887437801808,0.0007237755846381,23.767962089767057
187,7,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78743,0.009842875,1940.039280584082,0.0011508703334172,313.04283057190764
188,8,200,20,inf,kron_alt,2,2,0.66,4.0,0.28,10,78736,0.009842,1936.8019248470664,0.0009245114687323,418.4640215234812
